id,date,product_name,category,quantity,unit_price,total_revenue,region,customer_id
1,2024-10-20 08:14:17.662149,Велосипед горний,sports,3,684.33,2052.9900000000002,lviv,2487
2,2024-10-20 08:14:17.662149,Детектив Агати Крісті,books,3,125.95,377.85,dnipro,1731
3,2024-10-20 08:14:17.662149,Підручник математики,books,2,66.11,132.22,kyiv,8267
4,2024-10-20 08:14:17.662149,М'яч футбольний,sports,4,758.24,3032.96,kharkiv,5629
5,2024-10-20 08:14:17.662149,Светр H&M,clothing,9,412.35,3711.15,kharkiv,4376
6,2024-10-20 08:14:17.662149,Абонемент у спортзал,sports,8,382.14,3057.12,dnipro,9769
7,2024-10-20 08:14:17.662149,Ваза декоративна,home,6,759.57,4557.42,kharkiv,6972
8,2024-10-20 08:14:17.662149,Хліб домашній,food,6,80.88,485.28,dnipro,9624
9,2024-10-20 08:14:17.662149,Абонемент у спортзал,sports,4,236.79,947.16,odessa,2403
10,2024-10-20 08:14:17.662149,Планшет iPad,electronics,6,585.4,3512.3999999999996,dnipro,4815
11,2024-10-20 08:14:17.662149,Абонемент у спортзал,sports,10,295.15,2951.5,odessa,8607
12,2024-10-20 08:14:17.662149,Футболка Nike,clothing,7,190.93,1336.51,dnipro,1808
13,2024-10-20 08:14:17.662149,Детектив Агати Крісті,books,2,73.19,146.38,kharkiv,5512
14,2024-10-20 08:14:17.662149,Футболка Nike,clothing,9,448.98,4040.82,kharkiv,7984
15,2024-10-20 08:14:17.662149,Журнал мод,books,6,146.64,879.8399999999999,lviv,8451
16,2024-10-20 08:14:17.662149,Стол обідній,home,6,614.38,3686.2799999999997,dnipro,5150
17,2024-10-20 08:14:17.662149,Книга рецептів,books,2,98.39,196.78,kharkiv,1537
18,2024-10-20 08:14:17.662149,Джинси Levis,clothing,5,316.5,1582.5,kharkiv,2280
19,2024-10-20 08:14:17.662149,Кросівки для бігу,sports,9,545.32,4907.88,lviv,5140
20,2024-10-20 08:14:17.662149,Гантелі 10кг,sports,2,106.53,213.06,lviv,5953
21,2024-10-20 08:14:17.662149,Футболка Nike,clothing,8,199.45,1595.6,dnipro,2444
22,2024-10-20 08:14:17.662149,Взуття Adidas,clothing,7,463.64,3245.48,kharkiv,7226
23,2024-10-20 08:14:17.662149,Планшет iPad,electronics,4,1603.9,6415.6,odessa,7822
24,2024-10-20 08:14:17.662149,Кросівки для бігу,sports,3,393.53,1180.59,kyiv,2974
25,2024-10-20 08:14:17.662149,М'ясо курки,food,8,77.19,617.52,lviv,3441
26,2024-10-20 08:14:17.662149,Куртка The North Face,clothing,3,351.39,1054.17,kyiv,1061
27,2024-10-20 08:14:17.662149,Взуття Adidas,clothing,6,351.41,2108.46,kyiv,8714
28,2024-10-20 08:14:17.662149,М'яч футбольний,sports,8,451.21,3609.68,lviv,6348
29,2024-10-20 08:14:17.662149,Светр H&M,clothing,8,399.37,3194.96,odessa,6123
30,2024-10-20 08:14:17.662149,Молоко 3.2%,food,10,90.71,907.0999999999999,kyiv,1149
31,2024-10-20 08:14:17.662149,Лампа настільна,home,10,1992.87,19928.699999999997,dnipro,6163
32,2024-10-20 08:14:17.662149,Овочі сезонні,food,9,12.33,110.97,lviv,3919
33,2024-10-20 08:14:17.662149,Куртка The North Face,clothing,4,355.45,1421.8,odessa,3549
34,2024-10-20 08:14:17.662149,Ноутбук Dell Inspiron,electronics,7,4395.86,30771.019999999997,kharkiv,6930
35,2024-10-20 08:14:17.662149,Хліб домашній,food,1,27.05,27.05,lviv,5157
36,2024-10-20 08:14:17.662149,Килим перський,home,2,1848.85,3697.7,dnipro,4387
37,2024-10-20 08:14:17.662149,Хліб домашній,food,6,35.8,214.79999999999998,kyiv,3802
38,2024-10-20 08:14:17.662149,Молоко 3.2%,food,1,96.35,96.35,odessa,7151
39,2024-10-20 08:14:17.662149,Детектив Агати Крісті,books,3,114.4,343.20000000000005,kyiv,8753
40,2024-10-20 08:14:17.662149,Ноутбук Dell Inspiron,electronics,6,1663.92,9983.52,odessa,9604
41,2024-10-20 08:14:17.662149,Горщик для квітів,home,1,1937.24,1937.24,odessa,1572
42,2024-10-20 08:14:17.662149,Роман '1984',books,8,106.83,854.64,lviv,1843
43,2024-10-20 08:14:17.662149,Футболка Nike,clothing,1,66.7,66.7,lviv,5957
44,2024-10-20 08:14:17.662149,М'яч футбольний,sports,9,299.94,2699.46,lviv,1530
45,2024-10-20 08:14:17.662149,Йогурт грецький,food,9,72.08,648.72,kharkiv,2116
46,2024-10-20 08:14:17.662149,Детектив Агати Крісті,books,2,98.56,197.12,kharkiv,3255
